log_id,equipment_id,event_type,timestamp,operator_id,message
LOG0000001,WELDER-001,maintenance,2025-12-06T21:40:36.009Z,OP14,Tripudio torqueo cuppedia quo quam verbera thesis vetus delicate tabesco.
LOG0000002,WELDER-001,startup,2026-01-24T18:25:30.769Z,OP6,Decens adulescens vestrum acies verecundia spes ulterius arguo deporto.
LOG0000003,WELDER-001,maintenance,2026-01-16T23:59:00.206Z,OP29,Repudiandae auctor quidem curto paens adulescens tergum uterque.
LOG0000004,CNC-001,maintenance,2025-10-09T10:44:47.117Z,OP10,Eligendi virgo damnatio volo sodalitas torqueo verto.
LOG0000005,CNC-002,production,2026-01-14T22:46:13.784Z,OP4,Bene creta utpote iure bestia stultus supra tandem.
LOG0000006,CNC-001,maintenance,2026-01-11T00:03:46.463Z,OP17,Tepidus explicabo temptatio adfectus clamo vomica.
LOG0000007,WELDER-001,alarm,2026-01-17T23:52:36.532Z,OP17,Substantia solum nulla quia concedo iste dicta demitto.
LOG0000008,FURNACE-001,shutdown,2026-01-05T09:36:49.099Z,OP15,Cohors tristis defungo creber.
LOG0000009,PRESS-002,alarm,2025-12-17T15:23:19.280Z,OP10,Concido ambitus ascit soluta conduco magni suspendo argentum acquiro.
LOG0000010,PRESS-001,shutdown,2025-11-20T10:34:08.738Z,OP6,Somnus crebro venio temporibus vergo adflicto vinco asporto reprehenderit decens.
LOG0000011,PRESS-001,maintenance,2025-12-29T06:47:02.210Z,OP5,Cilicium umbra doloribus corpus thymbra calamitas aestivus.
LOG0000012,FURNACE-001,shutdown,2025-10-04T07:00:47.821Z,OP14,Aggredior admiratio texo cunctatio conicio.
LOG0000013,WELDER-001,startup,2025-10-21T20:35:13.227Z,OP23,Uberrime vere saepe stips contigo deficio totidem constans.
LOG0000014,WELDER-001,shutdown,2025-11-08T12:28:07.429Z,OP1,Abutor tam charisma cado studio vesper adicio summopere audentia.
LOG0000015,FURNACE-001,maintenance,2026-01-19T07:33:16.700Z,OP11,Argentum crastinus circumvenio curatio dens dolor.
LOG0000016,CNC-001,startup,2025-11-26T02:54:28.375Z,OP17,Demens expedita casus trans somniculosus veritatis alii.
LOG0000017,WELDER-001,startup,2025-11-05T05:13:56.005Z,OP10,Concido triduana repellat surculus video thymbra.
LOG0000018,PRESS-001,production,2025-11-16T08:55:02.373Z,OP22,Correptius pecto animadverto artificiose colligo.
LOG0000019,WELDER-001,shutdown,2025-10-10T20:13:56.736Z,OP2,Deprecator ullus tantillus temperantia debilito auxilium ustulo suffoco.
LOG0000020,PRESS-002,alarm,2025-12-14T21:40:10.083Z,OP27,Id degusto ascisco virgo.
LOG0000021,CNC-001,startup,2025-12-29T04:02:49.979Z,OP13,Volutabrum ara auditor tumultus.
LOG0000022,PRESS-002,shutdown,2025-11-15T06:59:12.485Z,OP24,Tibi numquam vergo tantillus tremo appositus ager cupio vitae.
