sku,product_name,category,price,cost,supplier
SKU00001,Handcrafted Wooden Sausages,Sports,82.29,49.37,"Mills, Quigley and Aufderhar"
SKU00002,Unbranded Silk Cheese,Clothing,95.75,57.45,Greenfelder LLC
SKU00003,Elegant Concrete Computer,Home,393.65,236.19,Bayer LLC
SKU00004,Ergonomic Aluminum Towels,Books,405.19,243.11,"Kiehn, Cartwright and Kunze"
SKU00005,Awesome Steel Chicken,Beauty,159.35,95.61,Wisozk - Ryan
SKU00006,Tasty Steel Pants,Books,48.89,29.33,Howell - Goldner
SKU00007,Sleek Cotton Chicken,Sports,74.79,44.87,"Rutherford, Donnelly and Abshire"
SKU00008,Sleek Plastic Sausages,Toys,41.69,25.01,"Mueller, Harris and Bergnaum"
SKU00009,Generic Concrete Sausages,Beauty,444.19,266.51,"Rowe, Macejkovic and Russel"
SKU00010,Intelligent Granite Gloves,Electronics,58.45,35.07,Lang - Upton
SKU00011,Fresh Gold Shirt,Clothing,43.19,25.91,"Schowalter, Nader and Swaniawski"
SKU00012,Rustic Bronze Table,Sports,404.69,242.81,Farrell - Keebler
SKU00013,Sleek Silk Bacon,Sports,211.69,127.01,Weissnat Inc
SKU00014,Licensed Plastic Computer,Books,481.49,288.89,Graham - Bashirian
SKU00015,Modern Granite Ball,Food,454.69,272.81,Yost Group
SKU00016,Practical Rubber Cheese,Beauty,187.05,112.23,Borer and Sons
SKU00017,Generic Bronze Bacon,Sports,340.45,204.27,O'Connell - Daniel
SKU00018,Practical Cotton Towels,Clothing,173.81,104.29,"Gerlach, Okuneva and Schumm"
SKU00019,Licensed Granite Cheese,Electronics,449.15,269.49,Heller LLC
SKU00020,Soft Steel Shirt,Beauty,46.60,27.96,Altenwerth Group
SKU00021,Oriental Aluminum Car,Sports,347.49,208.49,"Ferry, Hane and Rogahn"
SKU00022,Oriental Silk Pizza,Sports,51.39,30.83,Wiza - Huel
SKU00023,Soft Metal Shoes,Sports,290.59,174.35,"Goyette, Bailey and O'Connell"
SKU00024,Ergonomic Wooden Towels,Books,188.20,112.92,Wisoky and Sons
SKU00025,Small Concrete Fish,Toys,161.85,97.11,"Predovic, Marks and Boyer"
SKU00026,Modern Wooden Car,Sports,439.35,263.61,"Hessel, Greenholt and Schowalter"
