batch_id,product_line,product_type,start_time,end_time,target_qty,produced_qty,defect_qty
BATCH000001,Line-D,Copper-Wire,2026-01-21T02:33:13.114Z,2026-01-21T08:33:13.114Z,562,588,25
BATCH000002,Line-B,Steel-Plate,2026-01-01T08:11:09.659Z,2026-01-01T15:11:09.659Z,280,263,13
BATCH000003,Line-B,Copper-Wire,2025-12-09T06:04:11.943Z,2025-12-09T07:04:11.943Z,897,918,60
BATCH000004,Line-D,Aluminum-Sheet,2025-08-21T21:09:45.977Z,2025-08-22T02:09:45.977Z,385,372,30
BATCH000005,Line-A,Steel-Coil,2025-08-15T11:22:46.776Z,2025-08-15T12:22:46.776Z,200,209,11
BATCH000006,Line-C,Aluminum-Sheet,2025-08-30T12:45:25.582Z,2025-08-30T19:45:25.582Z,287,291,11
BATCH000007,Line-D,Steel-Coil,2025-08-10T06:42:53.917Z,2025-08-10T09:42:53.917Z,268,260,10
BATCH000008,Line-B,Copper-Wire,2025-12-21T02:45:44.645Z,2025-12-21T09:45:44.645Z,420,403,6
BATCH000009,Line-C,Copper-Wire,2025-12-11T12:43:54.366Z,2025-12-11T17:43:54.366Z,871,835,79
BATCH000010,Line-B,Copper-Wire,2025-11-30T12:43:47.677Z,2025-11-30T20:43:47.677Z,163,157,11
BATCH000011,Line-B,Steel-Plate,2025-10-04T07:23:06.697Z,2025-10-04T14:23:06.697Z,370,336,14
BATCH000012,Line-D,Copper-Wire,2025-09-02T00:46:46.138Z,2025-09-02T02:46:46.138Z,612,639,19
BATCH000013,Line-D,Aluminum-Sheet,2025-09-15T04:09:35.498Z,2025-09-15T12:09:35.498Z,204,191,14
BATCH000014,Line-B,Steel-Plate,2026-01-10T17:58:01.872Z,2026-01-11T01:58:01.872Z,314,322,26
BATCH000015,Line-D,Steel-Coil,2025-07-31T03:23:15.507Z,2025-07-31T05:23:15.507Z,713,694,39
BATCH000016,Line-C,Steel-Plate,2025-07-01T23:22:12.758Z,2025-07-02T01:22:12.758Z,148,137,4
BATCH000017,Line-D,Copper-Wire,2025-08-01T03:54:33.763Z,2025-08-01T09:54:33.763Z,489,491,30
